"text","output_file"
"In 0.1 miles","200.wav"
"In 200 meters","200meters.wav"
"In a quarter mile","400.wav"
"In 400 meters","400meters.wav"
"In half a mile","800.wav"
"In 800 meters","800meters.wav"
"In 1 kilometer","1000meters.wav"
"In 1 mile","1500.wav"
"In 1.5 kilometers","1500meters.wav"
"And then","AndThen.wav"
"Accident ahead","ApproachAccident.wav"
"Hazard ahead","ApproachHazard.wav"
"Red light camera ahead","ApproachRedLightCam.wav"
"Speed camera ahead","ApproachSpeedCam.wav"
"Traffic ahead","ApproachTraffic.wav"
"You have arrived at your destination","Arrive.wav"
"Take the exit on the left","ExitLeft.wav"
"Take the exit on the right","ExitRight.wav"
"Take the fifth exit","Fifth.wav"
"Take the first exit","First.wav"
"Take the fourth exit","Fourth.wav"
"Keep left","KeepLeft.wav"
"Keep right","KeepRight.wav"
"Police ahead","Police.wav"
"At the roundabout","Roundabout.wav"
"Take the second exit","Second.wav"
"Take the seventh exit","Seventh.wav"
"Take the sixth exit","Sixth.wav"
"Hi there","StartDrive1.wav"
"Welcome","StartDrive2.wav"
"Hello","StartDrive3.wav"
"Let's get started","StartDrive4.wav"
"Continue straight","Straight.wav"
"Take the third exit","Third.wav"
"Turn left","TurnLeft.wav"
"Turn right","TurnRight.wav"
"Make a U-turn","uturn.wav"
